ID,Name,Category,Coalition,Lat,Lon
16,Bagram,Airdrome,Neutral,,
18,Bamyan,Airdrome,Neutral,,
8,Bost,Airdrome,Neutral,,
10,Camp Bastion,Airdrome,Neutral,,
13,Camp Bastion Heliport,Helipad,Neutral,,
5,Chaghcharan,Airdrome,Neutral,,
11,Dwyer,Airdrome,Neutral,,
2,Farah,Airdrome,Neutral,,
27,FOB Camp Dubs,Helipad,Neutral,,
28,FOB Clark,Helipad,Neutral,,
23,FOB Salerno,Helipad,Neutral,,
26,FOB Thunder,Helipad,Neutral,,
20,Gardez,Airdrome,Neutral,,
21,Ghazni Heliport,Airdrome,Neutral,,
1,Herat,Airdrome,Neutral,,
19,Jalalabad,Airdrome,Neutral,,
17,Kabul,Airdrome,Neutral,,
7,Kandahar,Airdrome,Neutral,,
15,Kandahar Heliport,Helipad,Neutral,,
25,Khost,Airdrome,Neutral,,
4,Maymana Zahiraddin Faryabi,Airdrome,Neutral,,
12,Nimroz,Airdrome,Neutral,,
6,Qala i Naw,Airdrome,Neutral,,
22,Sharana,Airdrome,Neutral,,
3,Shindand,Airdrome,Neutral,,
14,Shindand Heliport,Helipad,Neutral,,
9,Tarinkot,Airdrome,Neutral,,
24,Urgoon Heliport,Helipad,Neutral,,
