ID,Name,Category,Coalition,Lat,Lon
204,Airracing Frankfurt,Airdrome,Neutral,,
123,Airracing Koblenz,Airdrome,Neutral,,
201,Airracing Lubeck,Airdrome,Neutral,,
157,Allstedt,Airdrome,Neutral,,
2,Altes Lager,Airdrome,Neutral,,
242,Bad Durkheim,Airdrome,Neutral,,
3,Barth,Airdrome,Neutral,,
110,Bienenfarm,Airdrome,Neutral,,
164,Bindersleben,Airdrome,Neutral,,
200,Bitburg,Airdrome,Neutral,,
107,Braunschweig,Airdrome,Neutral,,
5,Bremen,Airdrome,Neutral,,
6,Briest,Airdrome,Neutral,,
235,Buchel,Airdrome,Neutral,,
7,Buckeburg,Airdrome,Neutral,,
8,Celle,Airdrome,Neutral,,
9,Cochstedt,Airdrome,Neutral,,
10,Damgarten,Airdrome,Neutral,,
103,Dedelow,Airdrome,Neutral,,
83,Dessau,Airdrome,Neutral,,
11,Fassberg,Airdrome,Neutral,,
12,Finow,Airdrome,Neutral,,
163,Frankfurt,Airdrome,Neutral,,
154,Fritzlar,Airdrome,Neutral,,
166,Fulda,Airdrome,Neutral,,
112,Gardelegen,Airdrome,Neutral,,
13,Garz,Airdrome,Neutral,,
14,Gatow,Airdrome,Neutral,,
243,Gelnhausen,Airdrome,Neutral,,
159,Giebelstadt,Airdrome,Neutral,,
113,Glindbruchkippe,Airdrome,Neutral,,
80,Gross Mohrdorf,Airdrome,Neutral,,
141,Grosse Wiese,Airdrome,Neutral,,
16,Gutersloh,Airdrome,Neutral,,
53,H FRG 01,Helipad,Neutral,,
54,H FRG 02,Helipad,Neutral,,
55,H FRG 03,Helipad,Neutral,,
56,H FRG 04,Helipad,Neutral,,
57,H FRG 05,Helipad,Neutral,,
58,H FRG 06,Helipad,Neutral,,
59,H FRG 07,Helipad,Neutral,,
60,H FRG 08,Helipad,Neutral,,
61,H FRG 09,Helipad,Neutral,,
62,H FRG 10,Helipad,Neutral,,
100,H FRG 11,Helipad,Neutral,,
64,H FRG 12,Helipad,Neutral,,
65,H FRG 13,Helipad,Neutral,,
66,H FRG 14,Helipad,Neutral,,
78,H FRG 15,Helipad,Neutral,,
96,H FRG 16,Helipad,Neutral,,
97,H FRG 17,Helipad,Neutral,,
98,H FRG 18,Helipad,Neutral,,
99,H FRG 19,Helipad,Neutral,,
143,H FRG 20,Helipad,Neutral,,
148,H FRG 21,Helipad,Neutral,,
150,H FRG 23,Helipad,Neutral,,
191,H FRG 25,Helipad,Neutral,,
202,H FRG 27,Helipad,Neutral,,
211,H FRG 30,Helipad,Neutral,,
212,H FRG 31,Helipad,Neutral,,
213,H FRG 32,Helipad,Neutral,,
215,H FRG 34,Helipad,Neutral,,
219,H FRG 38,Helipad,Neutral,,
151,H FRG 39,Helipad,Neutral,,
234,H FRG 40,Helipad,Neutral,,
253,H FRG 41,Helipad,Neutral,,
254,H FRG 42,Helipad,Neutral,,
237,H FRG 43,Helipad,Neutral,,
238,H FRG 44,Helipad,Neutral,,
239,H FRG 45,Helipad,Neutral,,
240,H FRG 46,Helipad,Neutral,,
241,H FRG 47,Helipad,Neutral,,
220,H FRG 48,Helipad,Neutral,,
221,H FRG 49,Helipad,Neutral,,
149,H FRG 50,Helipad,Neutral,,
218,H FRG 51,Helipad,Neutral,,
67,H GDR 01,Helipad,Neutral,,
68,H GDR 02,Helipad,Neutral,,
69,H GDR 03,Helipad,Neutral,,
70,H GDR 04,Helipad,Neutral,,
71,H GDR 05,Helipad,Neutral,,
72,H GDR 06,Helipad,Neutral,,
73,H GDR 07,Helipad,Neutral,,
74,H GDR 08,Helipad,Neutral,,
75,H GDR 09,Helipad,Neutral,,
76,H GDR 10,Helipad,Neutral,,
77,H GDR 11,Helipad,Neutral,,
85,H GDR 12,Helipad,Neutral,,
91,H GDR 13,Helipad,Neutral,,
92,H GDR 14,Helipad,Neutral,,
93,H GDR 15,Helipad,Neutral,,
94,H GDR 16,Helipad,Neutral,,
95,H GDR 17,Helipad,Neutral,,
142,H GDR 18,Helipad,Neutral,,
145,H GDR 19,Helipad,Neutral,,
152,H GDR 21,Helipad,Neutral,,
153,H GDR 22,Helipad,Neutral,,
185,H GDR 24,Helipad,Neutral,,
226,H GDR 25,Helipad,Neutral,,
227,H GDR 26,Helipad,Neutral,,
146,H GDR 30,Helipad,Neutral,,
229,H GDR 31,Helipad,Neutral,,
230,H GDR 32,Helipad,Neutral,,
122,H GDR 33,Helipad,Neutral,,
124,H GDR 34,Helipad,Neutral,,
129,H Med FRG 01,Helipad,Neutral,,
130,H Med FRG 02,Helipad,Neutral,,
132,H Med FRG 04,Helipad,Neutral,,
134,H Med FRG 06,Helipad,Neutral,,
139,H Med FRG 11,Helipad,Neutral,,
144,H Med FRG 12,Helipad,Neutral,,
186,H Med FRG 13,Helipad,Neutral,,
187,H Med FRG 14,Helipad,Neutral,,
188,H Med FRG 15,Helipad,Neutral,,
189,H Med FRG 16,Helipad,Neutral,,
190,H Med FRG 17,Helipad,Neutral,,
208,H Med FRG 21,Helipad,Neutral,,
222,H Med FRG 24,Helipad,Neutral,,
225,H Med FRG 26,Helipad,Neutral,,
231,H Med FRG 27,Helipad,Neutral,,
233,H Med FRG 29,Helipad,Neutral,,
119,H Med GDR 01,Helipad,Neutral,,
120,H Med GDR 02,Helipad,Neutral,,
121,H Med GDR 03,Helipad,Neutral,,
126,H Med GDR 08,Helipad,Neutral,,
127,H Med GDR 09,Helipad,Neutral,,
128,H Med GDR 10,Helipad,Neutral,,
147,H Med GDR 11,Helipad,Neutral,,
180,H Med GDR 12,Helipad,Neutral,,
181,H Med GDR 13,Helipad,Neutral,,
182,H Med GDR 14,Helipad,Neutral,,
184,H Med GDR 16,Helipad,Neutral,,
223,H Radar FRG 02,Helipad,Neutral,,
193,H Radar GDR 01,Helipad,Neutral,,
194,H Radar GDR 02,Helipad,Neutral,,
195,H Radar GDR 03,Helipad,Neutral,,
196,H Radar GDR 04,Helipad,Neutral,,
197,H Radar GDR 05,Helipad,Neutral,,
198,H Radar GDR 06,Helipad,Neutral,,
199,H Radar GDR 07,Helipad,Neutral,,
252,H Radar GDR 08,Helipad,Neutral,,
251,H Radar GDR 09,Helipad,Neutral,,
155,Hahn,Airdrome,Neutral,,
161,Haina,Airdrome,Neutral,,
17,Hamburg,Airdrome,Neutral,,
18,Hamburg Finkenwerder,Airdrome,Neutral,,
19,Hannover,Airdrome,Neutral,,
140,Hasselfelde,Airdrome,Neutral,,
244,Herrenteich,Airdrome,Neutral,,
115,Hildesheim,Airdrome,Neutral,,
245,Hockenheim,Airdrome,Neutral,,
118,Holzdorf,Airdrome,Neutral,,
104,Kammermark,Airdrome,Neutral,,
82,Kothen,Airdrome,Neutral,,
20,Laage,Airdrome,Neutral,,
246,Langenselbold,Airdrome,Neutral,,
21,Larz,Airdrome,Neutral,,
171,Leipzig Halle,Airdrome,Neutral,,
236,Leipzig Mockau,Airdrome,Neutral,,
81,Lubeck,Airdrome,Neutral,,
89,Luneburg,Airdrome,Neutral,,
22,Mahlwinkel,Airdrome,Neutral,,
168,Mendig,Airdrome,Neutral,,
169,Merseburg,Airdrome,Neutral,,
23,Neubrandenburg,Airdrome,Neutral,,
24,Neuruppin,Airdrome,Neutral,,
90,Northeim,Airdrome,Neutral,,
248,Ober-Morlen,Airdrome,Neutral,,
167,Obermehler Schlotheim,Airdrome,Neutral,,
84,Parchim,Airdrome,Neutral,,
