ID,Name,Category,Coalition,Lat,Lon
33,Afrikanda,Airdrome,Neutral,,
19,Alakurtti,Airdrome,Neutral,,
24,Alta,Airdrome,Neutral,,
20,Andoya,Airdrome,Neutral,,
1,Banak,Airdrome,Neutral,,
21,Bardufoss,Airdrome,Neutral,,
7,Bodo,Airdrome,Neutral,,
26,Enontekio,Airdrome,Neutral,,
25,Evenes,Airdrome,Neutral,,
23,Hosio,Airdrome,Neutral,,
18,Ivalo,Airdrome,Neutral,,
11,Jokkmokk,Airdrome,Neutral,,
32,Kalevala,Airdrome,Neutral,,
13,Kalixfors,Helipad,Neutral,,
15,Kallax,Airdrome,Neutral,,
3,Kemi Tornio,Airdrome,Neutral,,
28,Kilpyavr,Airdrome,Neutral,,
14,Kirkenes,Airdrome,Neutral,,
5,Kiruna,Airdrome,Neutral,,
22,Kittila,Airdrome,Neutral,,
30,Koshka Yavr,Airdrome,Neutral,,
16,Kuusamo,Airdrome,Neutral,,
29,Luostari Pechenga,Helipad,Neutral,,
10,Monchegorsk,Airdrome,Neutral,,
12,Murmansk International,Airdrome,Neutral,,
9,Olenya,Airdrome,Neutral,,
31,Poduzhemye,Airdrome,Neutral,,
2,Rovaniemi,Airdrome,Neutral,,
8,Severomorsk-1,Airdrome,Neutral,,
6,Severomorsk-3,Airdrome,Neutral,,
27,Sodankyla,Helipad,Neutral,,
17,Vidsel,Airdrome,Neutral,,
4,Vuojarvi,Airdrome,Neutral,,
