ID,Name,Category,Coalition,Lat,Lon
5,Beatty,Airdrome,Neutral,,
6,Boulder City,Airdrome,Neutral,,
1,Creech,Airdrome,Neutral,,
7,Echo Bay,Airdrome,Neutral,,
2,Groom Lake,Airdrome,Neutral,,
8,Henderson Executive,Airdrome,Neutral,,
9,Jean,Airdrome,Neutral,,
10,Laughlin,Airdrome,Neutral,,
11,Lincoln County,Airdrome,Neutral,,
3,McCarran International,Airdrome,Neutral,,
13,Mesquite,Airdrome,Neutral,,
14,Mina,Helipad,Neutral,,
4,Nellis,Airdrome,Neutral,,
15,North Las Vegas,Airdrome,Neutral,,
16,Pahute Mesa,Airdrome,Neutral,,
17,Tonopah,Airdrome,Neutral,,
18,Tonopah Test Range,Airdrome,Neutral,,
