ID,Name,Category,Coalition,Lat,Lon
12,Anapa-Vityazevo,Airdrome,Neutral,,
22,Batumi,Airdrome,Neutral,,
32,Beslan,Airdrome,Neutral,,
17,Gelendzhik,Airdrome,Neutral,,
21,Gudauta,Airdrome,Neutral,,
24,Kobuleti,Airdrome,Neutral,,
13,Krasnodar-Center,Airdrome,Neutral,,
19,Krasnodar-Pashkovsky,Airdrome,Neutral,,
15,Krymsk,Airdrome,Neutral,,
25,Kutaisi,Airdrome,Neutral,,
16,Maykop-Khanskaya,Airdrome,Neutral,,
26,Mineralnye Vody,Airdrome,Neutral,,
28,Mozdok,Airdrome,Neutral,,
27,Nalchik,Airdrome,Neutral,,
14,Novorossiysk,Airdrome,Neutral,,
23,Senaki-Kolkhi,Airdrome,Neutral,,
18,Sochi-Adler,Airdrome,Neutral,,
30,Soganlug,Airdrome,Neutral,,
20,Sukhumi-Babushara,Airdrome,Neutral,,
29,Tbilisi-Lochini,Airdrome,Neutral,,
31,Vaziani,Airdrome,Neutral,,
