ID,Name,Category,Coalition,Lat,Lon
1,Al-Asad Airbase,Airdrome,Neutral,,
12,Al-Sahra Airport,Airdrome,Neutral,,
14,Al-Salam Airbase,Airdrome,Neutral,,
9,Al-Taji Airport,Airdrome,Neutral,,
13,Al-Taquddum Airport,Airdrome,Neutral,,
2,Baghdad International Airport,Airdrome,Neutral,,
8,Balad Airbase,Airdrome,Neutral,,
5,Bashur Airport,Airdrome,Neutral,,
4,Erbil International Airport,Airdrome,Neutral,,
11,K1 Base,Airdrome,Neutral,,
10,Kirkuk International Airport,Airdrome,Neutral,,
6,Qayyarah Airfield West,Airdrome,Neutral,,
7,Sulaimaniyah International Airport,Airdrome,Neutral,,
