ID,Name,Category,Coalition,Lat,Lon
25,Lantheuil,Airdrome,Neutral,,
6,Meautis,Airdrome,Neutral,,
26,Evreux,Airdrome,Neutral,,
12,Deux Jumeaux,Airdrome,Neutral,,
54,Deanland,Airdrome,Neutral,,
67,Beaumont-le-Roger,Airdrome,Neutral,,
10,Biniville,Airdrome,Neutral,,
82,Hawkinge,Airdrome,Neutral,,
81,Eastchurch,Airdrome,Neutral,,
29,Funtington,Airdrome,Neutral,,
22,Beny-sur-Mer,Airdrome,Neutral,,
36,Hauterive,Airdrome,Neutral,,
2,Lignerolles,Airdrome,Neutral,,
43,Kenley,Airdrome,Neutral,,
66,Gravesend,Airdrome,Neutral,,
55,Triqueville,Airdrome,Neutral,,
23,Rucqueville,Airdrome,Neutral,,
42,Villacoublay,Airdrome,Neutral,,
20,Bazenville,Airdrome,Neutral,,
58,Stoney Cross,Airdrome,Neutral,,
49,Dinan-Trelivan,Airdrome,Neutral,,
31,Ford,Airdrome,Neutral,,
7,Cricqueville-en-Bessin,Airdrome,Neutral,,
14,Beuzeville,Airdrome,Neutral,,
24,Sommervieu,Airdrome,Neutral,,
65,Avranches Le Val-Saint-Pere,Airdrome,Neutral,,
41,West Malling,Airdrome,Neutral,,
28,Needs Oar Point,Airdrome,Neutral,,
18,Longues-sur-Mer,Airdrome,Neutral,,
34,Barville,Airdrome,Neutral,,
80,Headcorn,Airdrome,Neutral,,
51,Fecamp-Benouville,Airdrome,Neutral,,
79,Dunkirk-Mardyck,Airdrome,Neutral,,
78,High Halden,Airdrome,Neutral,,
77,Merville Calonne,Airdrome,Neutral,,
76,Saint-Omer Wizernes,Airdrome,Neutral,,
19,Carpiquet,Airdrome,Neutral,,
11,Cardonville,Airdrome,Neutral,,
16,Picauville,Airdrome,Neutral,,
57,Orly,Airdrome,Neutral,,
38,Vrigny,Airdrome,Neutral,,
75,Abbeville Drucat,Airdrome,Neutral,,
73,Detling,Airdrome,Neutral,,
74,Lympne,Airdrome,Neutral,,
3,Cretteville,Airdrome,Neutral,,
40,Conches,Airdrome,Neutral,,
37,Lymington,Airdrome,Neutral,,
64,Flers,Airdrome,Neutral,,
72,Manston,Airdrome,Neutral,,
71,Biggin Hill,Airdrome,Neutral,,
39,Odiham,Airdrome,Neutral,,
70,Saint-Andre-de-lEure,Airdrome,Neutral,,
50,Heathrow,Airdrome,Neutral,,
17,Le Molay,Airdrome,Neutral,,
47,Guyancourt,Airdrome,Neutral,,
68,Broglie,Airdrome,Neutral,,
63,Saint-Aubin,Airdrome,Neutral,,
59,Amiens-Glisy,Airdrome,Neutral,,
9,Sainte-Laurent-sur-Mer,Airdrome,Neutral,,
30,Tangmere,Airdrome,Neutral,,
13,Chippelle,Airdrome,Neutral,,
45,Cormeilles-en-Vexin,Airdrome,Neutral,,
15,Azeville,Airdrome,Neutral,,
27,Chailey,Airdrome,Neutral,,
8,Lessay,Airdrome,Neutral,,
48,Lonrai,Airdrome,Neutral,,
62,Deauville,Airdrome,Neutral,,
44,Beauvais-Tille,Airdrome,Neutral,,
56,Poix,Airdrome,Neutral,,
53,Friston,Airdrome,Neutral,,
52,Farnborough,Airdrome,Neutral,,
32,Argentan,Airdrome,Neutral,,
21,Sainte-Croix-sur-Mer,Airdrome,Neutral,,
35,Essay,Airdrome,Neutral,,
69,Bernay Saint Martin,Airdrome,Neutral,,
4,Maupertus,Airdrome,Neutral,,
1,Saint Pierre du Mont,Airdrome,Neutral,,
5,Brucheville,Airdrome,Neutral,,
46,Creil,Airdrome,Neutral,,
60,Ronai,Airdrome,Neutral,,
33,Goulet,Airdrome,Neutral,,
61,Rouen-Boos,Airdrome,Neutral,,
