ID,Name,Category,Coalition,Lat,Lon
22,Abu Dhabi Intl,Airdrome,Neutral,,
1,Abu Musa Island,Airdrome,Neutral,,
25,Al Ain Intl,Airdrome,Neutral,,
4,Al Dhafra AFB,Airdrome,Neutral,,
6,Al Maktoum Intl,Airdrome,Neutral,,
12,Al Minhad AFB,Airdrome,Neutral,,
23,Al-Bateen,Airdrome,Neutral,,
2,Bandar Abbas Intl,Airdrome,Neutral,,
3,Bandar Lengeh,Airdrome,Neutral,,
21,Bandar-e-Jask,Airdrome,Neutral,,
5,Dubai Intl,Airdrome,Neutral,,
7,Fujairah Intl,Airdrome,Neutral,,
9,Havadarya,Airdrome,Neutral,,
27,Jiroft,Airdrome,Neutral,,
18,Kerman,Airdrome,Neutral,,
10,Khasab,Airdrome,Neutral,,
24,Kish Intl,Airdrome,Neutral,,
11,Lar,Airdrome,Neutral,,
26,Lavan Island,Airdrome,Neutral,,
29,Liwa AFB,Airdrome,Neutral,,
13,Qeshm Island,Airdrome,Neutral,,
30,Quasoura_airport,Airdrome,Neutral,,
28,Ras Al Khaimah Intl,Airdrome,Neutral,,
20,Sas Al Nakheel,Airdrome,Neutral,,
14,Sharjah Intl,Airdrome,Neutral,,
19,Shiraz Intl,Airdrome,Neutral,,
17,Sir Abu Nuayr,Airdrome,Neutral,,
15,Sirri Island,Airdrome,Neutral,,
8,Tunb Island AFB,Airdrome,Neutral,,
16,Tunb Kochak,Airdrome,Neutral,,
