ID,Name,Category,Coalition,Lat,Lon
26,Abu Rudeis,Airdrome,Neutral,,
2,Abu Suwayr,Airdrome,Neutral,,
44,Al Bahr al Ahmar,Airdrome,Neutral,,
4,Al Ismailiyah,Airdrome,Neutral,,
31,Al Khatatbah,Helipad,Neutral,,
14,Al Mansurah,Airdrome,Neutral,,
32,Al Rahmaniyah Air Base,Airdrome,Neutral,,
3,As Salihiyah,Airdrome,Neutral,,
15,AzZaqaziq,Airdrome,Neutral,,
27,Baluza,Airdrome,Neutral,,
24,Ben-Gurion,Airdrome,Neutral,,
33,Beni Suef,Airdrome,Neutral,,
16,Bilbeis Air Base,Airdrome,Neutral,,
28,Bir Hasanah,Airdrome,Neutral,,
34,Birma Air Base,Airdrome,Neutral,,
35,Borg El Arab International Airport,Airdrome,Neutral,,
17,Cairo International Airport,Airdrome,Neutral,,
18,Cairo West,Airdrome,Neutral,,
48,Damascus Intl,Airdrome,Neutral,,
1,Difarsuwar Airfield,Helipad,Neutral,,
52,Ein Shamer,Airdrome,Neutral,,
29,El Arish,Airdrome,Neutral,,
30,El Gora,Airdrome,Neutral,,
36,El Minya,Airdrome,Neutral,,
6,Fayed,Airdrome,Neutral,,
37,Gebel El Basur Air Base,Airdrome,Neutral,,
7,Hatzerim,Airdrome,Neutral,,
20,Hatzor,Airdrome,Neutral,,
38,Hurghada International Airport,Airdrome,Neutral,,
19,Inshas Airbase,Airdrome,Neutral,,
39,Jiyanklis Air Base,Airdrome,Neutral,,
12,Kedem,Airdrome,Neutral,,
55,Khalkhalah Air Base,Airdrome,Neutral,,
11,Kibrit Air Base,Airdrome,Neutral,,
54,King Feisal Air Base,Airdrome,Neutral,,
40,Kom Awshim,Airdrome,Neutral,,
51,Megiddo,Airdrome,Neutral,,
5,Melez,Airdrome,Neutral,,
49,Mezzeh Air Base,Airdrome,Neutral,,
8,Nevatim,Airdrome,Neutral,,
10,Ovda,Airdrome,Neutral,,
21,Palmachim,Airdrome,Neutral,,
45,Quwaysina,Helipad,Neutral,,
46,Rafic Hariri Intl,Airdrome,Neutral,,
50,Ramat David,Airdrome,Neutral,,
9,Ramon Airbase,Airdrome,Neutral,,
41,Ramon International Airport,Airdrome,Neutral,,
22,Sde Dov,Airdrome,Neutral,,
42,Sharm El Sheikh International Airport,Airdrome,Neutral,,
25,St Catherine,Airdrome,Neutral,,
53,Taba International Airport,Airdrome,Neutral,,
47,Tabuk,Airdrome,Neutral,,
56,TabukHeliBase,Helipad,Neutral,,
23,Tel Nof,Airdrome,Neutral,,
43,Wadi Abu Rish,Airdrome,Neutral,,
13,Wadi al Jandali,Airdrome,Neutral,,
