ID,Name,Category,Coalition,Lat,Lon
1,Abu al-Duhur,Airdrome,Neutral,,
2,Adana Sakirpasa,Airdrome,Neutral,,
44,Akrotiri,Airdrome,Neutral,,
3,Al Qusayr,Airdrome,Neutral,,
9,Al-Dumayr,Airdrome,Neutral,,
27,Aleppo,Airdrome,Neutral,,
4,An Nasiriyah,Airdrome,Neutral,,
63,At Tanf,Helipad,Neutral,,
21,Bassel Al-Assad,Airdrome,Neutral,,
6,Beirut-Rafic Hariri,Airdrome,Neutral,,
221,Ben Gurion,Airdrome,Neutral,,
7,Damascus,Airdrome,Neutral,,
42,Deir ez-Zor,Airdrome,Neutral,,
49,Ercan,Airdrome,Neutral,,
10,Eyn Shemer,Airdrome,Neutral,,
11,Gaziantep,Airdrome,Neutral,,
41,Gazipasa,Airdrome,Neutral,,
50,Gecitkale,Airdrome,Neutral,,
69,H,Helipad,Neutral,,
53,H3,Airdrome,Neutral,,
54,H3 Northwest,Airdrome,Neutral,,
55,H3 Southwest,Airdrome,Neutral,,
12,H4,Airdrome,Neutral,,
13,Haifa,Airdrome,Neutral,,
14,Hama,Airdrome,Neutral,,
15,Hatay,Airdrome,Neutral,,
222,Hatzor,Airdrome,Neutral,,
66,Herzliya,Airdrome,Neutral,,
16,Incirlik,Airdrome,Neutral,,
17,Jirah,Airdrome,Neutral,,
18,Khalkhalah,Airdrome,Neutral,,
59,Kharab Ishk,Helipad,Neutral,,
65,King Abdullah II,Airdrome,Neutral,,
19,King Hussein Air College,Airdrome,Neutral,,
45,Kingsfield,Airdrome,Neutral,,
20,Kiryat Shmona,Airdrome,Neutral,,
31,Kuweires,Airdrome,Neutral,,
48,Lakatamia,Helipad,Neutral,,
47,Larnaca,Airdrome,Neutral,,
22,Marj as Sultan North,Helipad,Neutral,,
8,Marj as Sultan South,Helipad,Neutral,,
23,Marj Ruhayyil,Airdrome,Neutral,,
67,Marka,Airdrome,Neutral,,
24,Megiddo,Airdrome,Neutral,,
25,Mezzeh,Airdrome,Neutral,,
26,Minakh,Airdrome,Neutral,,
68,Muwaffaq Salti,Airdrome,Neutral,,
52,Naqoura,Helipad,Neutral,,
43,Nicosia,Airdrome,Neutral,,
223,Palmachim,Airdrome,Neutral,,
28,Palmyra,Airdrome,Neutral,,
46,Paphos,Airdrome,Neutral,,
51,Pinarbashi,Airdrome,Neutral,,
64,Prince Hassan,Airdrome,Neutral,,
29,Qabr as Sitt,Helipad,Neutral,,
30,Ramat David,Airdrome,Neutral,,
32,Rayak,Airdrome,Neutral,,
33,Rene Mouawad,Airdrome,Neutral,,
34,Rosh Pina,Airdrome,Neutral,,
57,Ruwayshid,Airdrome,Neutral,,
58,Sanliurfa,Airdrome,Neutral,,
35,Sayqal,Airdrome,Neutral,,
36,Shayrat,Airdrome,Neutral,,
37,Tabqa,Airdrome,Neutral,,
38,Taftanaz,Helipad,Neutral,,
60,Tal Siman,Airdrome,Neutral,,
220,Tel Nof,Airdrome,Neutral,,
5,Tha'lah,Airdrome,Neutral,,
39,Tiyas,Airdrome,Neutral,,
40,Wujah Al Hajar,Airdrome,Neutral,,
